SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	F1
RiceM10-3-5	KrakenUniq	Rice	Multiple	10%	10G	0.990357387
RiceM30-1-1	Kneaddata	Rice	Multiple	90%	30G	0.999841549
RiceM30-1-2	Kneaddata	Rice	Multiple	90%	30G	0.999673178
RiceM30-1-3	Kneaddata	Rice	Multiple	90%	30G	0.999882523
RiceM30-1-4	Kneaddata	Rice	Multiple	90%	30G	0.999898642
RiceM30-1-5	Kneaddata	Rice	Multiple	90%	30G	0.99979211
RiceM30-1-1	BWA	Rice	Multiple	90%	30G	0.999302346
RiceM30-1-2	BWA	Rice	Multiple	90%	30G	0.999198085
RiceM30-1-3	BWA	Rice	Multiple	90%	30G	0.999755101
RiceM30-1-4	BWA	Rice	Multiple	90%	30G	0.999589979
RiceM30-1-5	BWA	Rice	Multiple	90%	30G	0.999343495
RiceM30-1-1	Bowtie2	Rice	Multiple	90%	30G	0.999889384
RiceM30-1-2	Bowtie2	Rice	Multiple	90%	30G	0.999879898
RiceM30-1-3	Bowtie2	Rice	Multiple	90%	30G	0.999887323
RiceM30-1-4	Bowtie2	Rice	Multiple	90%	30G	0.999890124
RiceM30-1-5	Bowtie2	Rice	Multiple	90%	30G	0.999889384
RiceM30-1-1	Kraken2	Rice	Multiple	90%	30G	0.989191138
RiceM30-1-2	Kraken2	Rice	Multiple	90%	30G	0.989178117
RiceM30-1-3	Kraken2	Rice	Multiple	90%	30G	0.989205333
RiceM30-1-4	Kraken2	Rice	Multiple	90%	30G	0.98921255
RiceM30-1-5	Kraken2	Rice	Multiple	90%	30G	0.989201514
RiceM30-1-1	KMCP	Rice	Multiple	90%	30G	0.855656122
RiceM30-1-2	KMCP	Rice	Multiple	90%	30G	0.855586802
RiceM30-1-3	KMCP	Rice	Multiple	90%	30G	0.855612889
RiceM30-1-4	KMCP	Rice	Multiple	90%	30G	0.855627505
RiceM30-1-5	KMCP	Rice	Multiple	90%	30G	0.855719065
RiceM30-1-1	KrakenUniq	Rice	Multiple	90%	30G	0.999927087
