SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Times
HumanS10-2-2	Kneaddata	Human	Single	50%	10G	348.7553833
HumanS10-2-3	Kneaddata	Human	Single	50%	10G	329.3427167
HumanS10-2-4	Kneaddata	Human	Single	50%	10G	345.19585
HumanS10-2-5	Kneaddata	Human	Single	50%	10G	330.4668167
HumanS10-3-1	Kneaddata	Human	Single	10%	10G	112.48465
HumanS10-3-2	Kneaddata	Human	Single	10%	10G	114.9406667
HumanS10-3-3	Kneaddata	Human	Single	10%	10G	111.2955
HumanS10-3-4	Kneaddata	Human	Single	10%	10G	110.6388167
HumanS10-3-5	Kneaddata	Human	Single	10%	10G	107.3741667
HumanS10-1-1	Kraken2	Human	Single	90%	10G	12.30005
HumanS10-1-2	Kraken2	Human	Single	90%	10G	12.56636667
HumanS10-1-3	Kraken2	Human	Single	90%	10G	12.46945
HumanS10-1-4	Kraken2	Human	Single	90%	10G	12.57008333
HumanS10-1-5	Kraken2	Human	Single	90%	10G	12.45963333
HumanS10-2-1	Kraken2	Human	Single	50%	10G	11.3723
HumanS10-2-2	Kraken2	Human	Single	50%	10G	11.3253
HumanS10-2-3	Kraken2	Human	Single	50%	10G	11.54466667
HumanS10-2-4	Kraken2	Human	Single	50%	10G	11.57298333
HumanS10-2-5	Kraken2	Human	Single	50%	10G	11.62966667
HumanS10-3-1	Kraken2	Human	Single	10%	10G	10.80606667
HumanS10-3-2	Kraken2	Human	Single	10%	10G	10.76106667
HumanS10-3-3	Kraken2	Human	Single	10%	10G	11.03
HumanS10-3-4	Kraken2	Human	Single	10%	10G	10.97951667
HumanS10-3-5	Kraken2	Human	Single	10%	10G	10.96331667
HumanS10-1-1	KMCP	Human	Single	90%	10G	97.04901667
HumanS10-1-2	KMCP	Human	Single	90%	10G	96.98615
HumanS10-1-3	KMCP	Human	Single	90%	10G	96.769
HumanS10-1-4	KMCP	Human	Single	90%	10G	97.1715
HumanS10-1-5	KMCP	Human	Single	90%	10G	96.61758333
HumanS10-2-1	KMCP	Human	Single	50%	10G	94.41225
HumanS10-2-2	KMCP	Human	Single	50%	10G	94.41571667
HumanS10-2-3	KMCP	Human	Single	50%	10G	94.14636667
HumanS10-2-4	KMCP	Human	Single	50%	10G	94.33646667
HumanS10-2-5	KMCP	Human	Single	50%	10G	94.10456667
