SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Gigabytes
HumanS10-3-2	BWA	Human	Single	10%	10G	6.77
HumanS10-3-3	BWA	Human	Single	10%	10G	6.72
HumanS10-3-4	BWA	Human	Single	10%	10G	6.77
HumanS10-3-5	BWA	Human	Single	10%	10G	6.72
HumanS10-1-1	KneadData	Human	Single	90%	10G	6.35
HumanS10-1-2	KneadData	Human	Single	90%	10G	6.35
HumanS10-1-3	KneadData	Human	Single	90%	10G	6.35
HumanS10-1-4	KneadData	Human	Single	90%	10G	6.35
HumanS10-1-5	KneadData	Human	Single	90%	10G	6.34
HumanS10-2-1	KneadData	Human	Single	50%	10G	6.28
HumanS10-2-2	KneadData	Human	Single	50%	10G	6.28
HumanS10-2-3	KneadData	Human	Single	50%	10G	6.28
HumanS10-2-4	KneadData	Human	Single	50%	10G	6.28
HumanS10-2-5	KneadData	Human	Single	50%	10G	6.28
HumanS10-3-1	KneadData	Human	Single	10%	10G	6.47
HumanS10-3-2	KneadData	Human	Single	10%	10G	6.47
HumanS10-3-3	KneadData	Human	Single	10%	10G	6.47
HumanS10-3-4	KneadData	Human	Single	10%	10G	6.47
HumanS10-3-5	KneadData	Human	Single	10%	10G	6.47
HumanS10-1-1	Kraken2	Human	Single	90%	10G	4.12
HumanS10-1-2	Kraken2	Human	Single	90%	10G	4.12
HumanS10-1-3	Kraken2	Human	Single	90%	10G	4.12
HumanS10-1-4	Kraken2	Human	Single	90%	10G	4.12
HumanS10-1-5	Kraken2	Human	Single	90%	10G	4.12
HumanS10-2-1	Kraken2	Human	Single	50%	10G	4.12
HumanS10-2-2	Kraken2	Human	Single	50%	10G	4.12
HumanS10-2-3	Kraken2	Human	Single	50%	10G	4.11
HumanS10-2-4	Kraken2	Human	Single	50%	10G	4.11
HumanS10-2-5	Kraken2	Human	Single	50%	10G	4.12
HumanS10-3-1	Kraken2	Human	Single	10%	10G	4.11
HumanS10-3-2	Kraken2	Human	Single	10%	10G	4.11
HumanS10-3-3	Kraken2	Human	Single	10%	10G	4.11
HumanS10-3-4	Kraken2	Human	Single	10%	10G	4.12
HumanS10-3-5	Kraken2	Human	Single	10%	10G	4.11
HumanS10-1-1	KMCP	Human	Single	90%	10G	24.66
HumanS10-1-2	KMCP	Human	Single	90%	10G	24.84
HumanS10-1-3	KMCP	Human	Single	90%	10G	24.84
HumanS10-1-4	KMCP	Human	Single	90%	10G	25.13
HumanS10-1-5	KMCP	Human	Single	90%	10G	24.88
HumanS10-2-1	KMCP	Human	Single	50%	10G	24.67
HumanS10-2-2	KMCP	Human	Single	50%	10G	24.84
HumanS10-2-3	KMCP	Human	Single	50%	10G	24.85
HumanS10-2-4	KMCP	Human	Single	50%	10G	25.15
HumanS10-2-5	KMCP	Human	Single	50%	10G	24.89
HumanS10-3-1	KMCP	Human	Single	10%	10G	24.72
HumanS10-3-2	KMCP	Human	Single	10%	10G	24.57
HumanS10-3-3	KMCP	Human	Single	10%	10G	24.69
HumanS10-3-4	KMCP	Human	Single	10%	10G	24.92
HumanS10-3-5	KMCP	Human	Single	10%	10G	24.75
HumanS10-1-1	KrakenUniq	Human	Single	90%	10G	33.57
HumanS10-1-2	KrakenUniq	Human	Single	90%	10G	33.68
HumanS10-1-3	KrakenUniq	Human	Single	90%	10G	33.68
HumanS10-1-4	KrakenUniq	Human	Single	90%	10G	33.69
HumanS10-1-5	KrakenUniq	Human	Single	90%	10G	33.67
HumanS10-2-1	KrakenUniq	Human	Single	50%	10G	33.61
HumanS10-2-2	KrakenUniq	Human	Single	50%	10G	33.67
HumanS10-2-3	KrakenUniq	Human	Single	50%	10G	33.66
HumanS10-2-4	KrakenUniq	Human	Single	50%	10G	33.64
HumanS10-2-5	KrakenUniq	Human	Single	50%	10G	33.68
HumanS10-3-1	KrakenUniq	Human	Single	10%	10G	33.58
HumanS10-3-2	KrakenUniq	Human	Single	10%	10G	33.59
HumanS10-3-3	KrakenUniq	Human	Single	10%	10G	33.59
HumanS10-3-4	KrakenUniq	Human	Single	10%	10G	33.57
HumanS10-3-5	KrakenUniq	Human	Single	10%	10G	33.6
Humans30-1-1	Bowtie2	Human	Single	90%	30G	3.42
Humans30-1-2	Bowtie2	Human	Single	90%	30G	3.42
Humans30-1-3	Bowtie2	Human	Single	90%	30G	3.42
Humans30-1-4	Bowtie2	Human	Single	90%	30G	3.42
Humans30-1-5	Bowtie2	Human	Single	90%	30G	3.42
Humans30-2-1	Bowtie2	Human	Single	50%	30G	3.42
Humans30-2-2	Bowtie2	Human	Single	50%	30G	3.42
Humans30-2-3	Bowtie2	Human	Single	50%	30G	3.42
Humans30-2-4	Bowtie2	Human	Single	50%	30G	3.42
Humans30-2-5	Bowtie2	Human	Single	50%	30G	3.42
Humans30-3-1	Bowtie2	Human	Single	10%	30G	3.42
Humans30-3-2	Bowtie2	Human	Single	10%	30G	3.42
Humans30-3-3	Bowtie2	Human	Single	10%	30G	3.42
Humans30-3-4	Bowtie2	Human	Single	10%	30G	3.42
Humans30-3-5	Bowtie2	Human	Single	10%	30G	3.42
Humans30-1-1	BWA	Human	Single	90%	30G	6.58
Humans30-1-2	BWA	Human	Single	90%	30G	6.79
Humans30-1-3	BWA	Human	Single	90%	30G	6.74
Humans30-1-4	BWA	Human	Single	90%	30G	6.78
Humans30-1-5	BWA	Human	Single	90%	30G	6.74
Humans30-2-1	BWA	Human	Single	50%	30G	6.58
Humans30-2-2	BWA	Human	Single	50%	30G	6.79
Humans30-2-3	BWA	Human	Single	50%	30G	6.74
Humans30-2-4	BWA	Human	Single	50%	30G	6.77
Humans30-2-5	BWA	Human	Single	50%	30G	6.73
Humans30-3-1	BWA	Human	Single	10%	30G	6.57
Humans30-3-2	BWA	Human	Single	10%	30G	6.78
Humans30-3-3	BWA	Human	Single	10%	30G	6.73
Humans30-3-4	BWA	Human	Single	10%	30G	6.77
Humans30-3-5	BWA	Human	Single	10%	30G	6.73
Humans30-1-1	KneadData	Human	Single	90%	30G	15.09
Humans30-1-2	KneadData	Human	Single	90%	30G	15.09
Humans30-1-3	KneadData	Human	Single	90%	30G	15.1
Humans30-1-4	KneadData	Human	Single	90%	30G	15.09
Humans30-1-5	KneadData	Human	Single	90%	30G	15.09
Humans30-2-1	KneadData	Human	Single	50%	30G	16.18
Humans30-2-2	KneadData	Human	Single	50%	30G	16.18
Humans30-2-3	KneadData	Human	Single	50%	30G	16.18
Humans30-2-4	KneadData	Human	Single	50%	30G	16.18
Humans30-2-5	KneadData	Human	Single	50%	30G	16.18
Humans30-3-1	KneadData	Human	Single	10%	30G	15.17
Humans30-3-2	KneadData	Human	Single	10%	30G	15.17
Humans30-3-3	KneadData	Human	Single	10%	30G	15.17
Humans30-3-4	KneadData	Human	Single	10%	30G	15.17
Humans30-3-5	KneadData	Human	Single	10%	30G	15.17
Humans30-1-1	Kraken2	Human	Single	90%	30G	4.1
Humans30-1-2	Kraken2	Human	Single	90%	30G	4.11
Humans30-1-3	Kraken2	Human	Single	90%	30G	4.12
Humans30-1-4	Kraken2	Human	Single	90%	30G	4.12
Humans30-1-5	Kraken2	Human	Single	90%	30G	4.11
Humans30-2-1	Kraken2	Human	Single	50%	30G	4.13
Humans30-2-2	Kraken2	Human	Single	50%	30G	4.12
Humans30-2-3	Kraken2	Human	Single	50%	30G	4.13
Humans30-2-4	Kraken2	Human	Single	50%	30G	4.12
Humans30-2-5	Kraken2	Human	Single	50%	30G	4.12
Humans30-3-1	Kraken2	Human	Single	10%	30G	4.12
Humans30-3-2	Kraken2	Human	Single	10%	30G	4.12
Humans30-3-3	Kraken2	Human	Single	10%	30G	4.11
Humans30-3-4	Kraken2	Human	Single	10%	30G	4.12
Humans30-3-5	Kraken2	Human	Single	10%	30G	4.12
Humans30-1-1	KMCP	Human	Single	90%	30G	24.8
Humans30-1-2	KMCP	Human	Single	90%	30G	24.91
Humans30-1-3	KMCP	Human	Single	90%	30G	24.89
Humans30-1-4	KMCP	Human	Single	90%	30G	25.45
