KEGG_ko	microbiome1
ko:K01940	273.359226
ko:K01941	83.28551
ko:K01945	146.18649
ko:K01947	5.97045
ko:K01950	253.704699
ko:K01951	275.68784
ko:K01952	433.215532
ko:K01953	212.58637
ko:K01955	419.947259
ko:K01956	166.041051
ko:K01958	16.57191
ko:K01960	130.970102
ko:K01961	202.091192
ko:K01962	361.60236999999995
ko:K01963	367.38181
ko:K01965	55.502449999999996
ko:K01966	129.3174
ko:K01971	22.59738
ko:K01972	369.60287
ko:K01974	13.369
ko:K01975	34.55556
ko:K01989	139.86534
ko:K01990	1652.305962
ko:K01991	127.716992
ko:K01992	2136.935832
ko:K01993	104.95841
ko:K01995	81.11381
ko:K01996	95.42228
ko:K01997	80.22415000000001
ko:K01998	116.57676
ko:K01999	91.00909
ko:K02000	75.3734
ko:K02001	22.651889999999998
ko:K02002	52.753032
ko:K02003	1381.05616
ko:K02004	2006.743921
ko:K02005	314.402532
ko:K02006	135.63619
ko:K02007	72.07022
ko:K02008	55.03121
ko:K02009	36.62542
ko:K02010	170.07249
ko:K02011	75.96709
ko:K02012	103.57794
ko:K02013	474.18481
ko:K02014	489.670342
ko:K02015	240.53771
ko:K02016	345.17872
ko:K02017	536.88302
ko:K02018	53.66258
ko:K02019	175.13834
ko:K02020	47.65563
ko:K02021	5.44874
ko:K02022	9.16604
ko:K02025	778.33978
ko:K02026	605.81398
ko:K02027	749.7239
ko:K02028	467.12635
ko:K02029	597.390763
ko:K02030	766.66927
ko:K02031	374.37548000000004
ko:K02032	198.28572
ko:K02033	261.93312
ko:K02034	428.42839
ko:K02035	601.909342
ko:K02036	256.15866
ko:K02037	363.28213
ko:K02038	211.44173
ko:K02039	219.81011999999998
ko:K02040	356.45957
ko:K02041	9.555810000000001
ko:K02042	23.013820000000003
ko:K02044	14.72845
ko:K02045	4.81272
ko:K02046	4.78957
ko:K02047	4.60189
ko:K02048	4.48723
ko:K02049	740.9695399999999
ko:K02050	739.2163999999999
ko:K02051	301.6503
ko:K02052	43.4234
ko:K02053	36.73237
ko:K02054	44.159971
ko:K02055	29.42942
ko:K02056	311.42395999999997
ko:K02057	316.19350000000003
ko:K02058	18.81428
ko:K02065	52.63852
ko:K02066	50.54126
ko:K02067	125.51462
ko:K02068	36.33514
ko:K02069	27.695700000000002
ko:K02071	131.38761
ko:K02072	118.59272
ko:K02073	169.69229
ko:K02074	14.81106
ko:K02075	62.53288
ko:K02076	5.75508
ko:K02077	52.72452
ko:K02078	988.76515
ko:K02080	2.72107
ko:K02081	63.2179
ko:K02082	44.667
ko:K02083	10.2431
ko:K02086	4.26992
ko:K02099	18.5086
ko:K02100	72.02582
ko:K02103	102.67169
ko:K02108	256.024481
ko:K02109	223.45631
ko:K02110	834.17461
ko:K02111	324.32446
ko:K02112	248.05975
ko:K02113	216.36498
ko:K02114	270.5702
ko:K02115	210.56527
ko:K02116	0.0
ko:K02117	125.8407
ko:K02118	139.31566
ko:K02119	47.694379999999995
ko:K02120	85.15809
ko:K02121	64.27082
ko:K02122	121.16044000000001
ko:K02123	160.33772000000002
ko:K02124	235.19169
ko:K02160	44.055890000000005
ko:K02168	13.08164
ko:K02169	59.906530000000004
ko:K02171	109.91237
ko:K02172	236.12804000000003
ko:K02182	19.449849999999998
ko:K02188	36.316252
ko:K02189	42.34365
ko:K02190	230.13588000000001
ko:K02191	12.221779999999999
ko:K02193	19.108702
ko:K02194	18.94715
ko:K02195	53.80466
ko:K02196	31.595
ko:K02197	90.51005
ko:K02198	57.44472
ko:K02199	7.11278
ko:K02200	13.85201
ko:K02203	40.8738
ko:K02204	300.9648
ko:K02217	194.94038
ko:K02221	155.58800000000002
ko:K02224	455.481916
ko:K02226	165.18726
ko:K02227	442.558949
ko:K02230	87.46397
ko:K02231	470.97443
ko:K02232	139.73823000000002
ko:K02233	504.91885
ko:K02236	9.57705
ko:K02237	217.16628
ko:K02238	240.28357
ko:K02241	2.4066
ko:K02242	33.09659
ko:K02250	27.3949
ko:K02278	31.32066
ko:K02279	58.88886
ko:K02280	20.83961
ko:K02282	96.78667
ko:K02283	175.62148
