KEGG_ko	anonymous_reads0
ko:K02431	6.04494
ko:K02433	231.12891
ko:K02434	406.97641999999996
ko:K02435	516.55097
ko:K02437	205.93977
ko:K02438	184.84302
ko:K02440	52.03309
ko:K02441	4.26816
ko:K02443	15.379660000000001
ko:K02444	5.601369999999999
ko:K02445	91.355854
ko:K02446	10.9113
ko:K02450	39.17049
ko:K02453	10.76731
ko:K02454	15.68259
ko:K02455	10.3298
ko:K02456	41.06656
ko:K02457	2.87833
ko:K02458	6.34333
ko:K02469	389.35654
ko:K02470	326.33507
ko:K02471	17.537950000000002
ko:K02472	49.03152
ko:K02473	84.59986
ko:K02474	98.70869
ko:K02475	2.16266
ko:K02477	276.15019
ko:K02478	10.69609
ko:K02481	141.3615
ko:K02483	83.9433
ko:K02484	188.805
ko:K02487	11.37012
ko:K02492	186.25625
ko:K02493	171.49679
ko:K02499	127.2579
ko:K02500	286.06833
ko:K02501	445.65418
ko:K02502	184.8965
ko:K02503	198.44027
ko:K02506	11.3651
ko:K02507	9.91791
ko:K02517	76.93334
ko:K02518	1570.2077100000001
ko:K02519	243.32833000000002
ko:K02520	153.39252
ko:K02521	6.66337
ko:K02523	55.36104
ko:K02527	94.59821
ko:K02528	269.70773
ko:K02529	1009.97056
ko:K02530	10.5072
ko:K02532	72.0677
ko:K02535	11.4904
ko:K02536	79.9079
ko:K02538	54.18677
ko:K02548	84.6749
ko:K02549	13.48854
ko:K02551	76.937968
ko:K02552	135.12667
ko:K02556	11.277610000000001
ko:K02557	56.89205
ko:K02558	26.15878
ko:K02560	6.00571
