Sample	SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Precision	Recall	Accuracy	F1
152	RiceS30-3-2	Kneaddata	Rice	Single	10%	30G	0.981832411	1	0.998149624	0.990832934
153	RiceS30-3-3	Kneaddata	Rice	Single	10%	30G	0.981815742	1	0.998147895	0.990824446
154	RiceS30-3-4	Kneaddata	Rice	Single	10%	30G	0.981803893	1	0.998146666	0.990818412
155	RiceS30-3-5	Kneaddata	Rice	Single	10%	30G	0.981807508	1	0.998147041	0.990820253
156	RiceS30-3-1	BWA	Rice	Single	10%	30G	0.964616164	1	0.996331822	0.981989441
157	RiceS30-3-2	BWA	Rice	Single	10%	30G	0.967018475	1	0.996589359	0.983232732
158	RiceS30-3-3	BWA	Rice	Single	10%	30G	0.962960385	1	0.996153568	0.981130737
159	RiceS30-3-4	BWA	Rice	Single	10%	30G	0.963563419	1	0.996218559	0.981443645
160	RiceS30-3-5	BWA	Rice	Single	10%	30G	0.963741797	1	0.996237768	0.981536166
161	RiceS30-3-1	Bowtie2	Rice	Single	10%	30G	0.999971765	0.999780932	0.99997527	0.99987634
162	RiceS30-3-2	Bowtie2	Rice	Single	10%	30G	0.999970098	0.999775724	0.999974583	0.999872901
163	RiceS30-3-3	Bowtie2	Rice	Single	10%	30G	0.999972598	0.999781141	0.999975374	0.99987686
164	RiceS30-3-4	Bowtie2	Rice	Single	10%	30G	0.99997166	0.999774891	0.999974656	0.999873266
165	RiceS30-3-5	Bowtie2	Rice	Single	10%	30G	0.999969785	0.999771453	0.999974124	0.999870609
166	RiceS30-3-1	Kraken2	Rice	Single	10%	30G	0.994679153	0.978711804	0.997347637	0.98663088
167	RiceS30-3-2	Kraken2	Rice	Single	10%	30G	0.994620336	0.978681491	0.997338804	0.986586542
168	RiceS30-3-3	Kraken2	Rice	Single	10%	30G	0.994654274	0.978667949	0.997340814	0.986596357
169	RiceS30-3-4	Kraken2	Rice	Single	10%	30G	0.994619645	0.978689928	0.997339574	0.98659049
