SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	num_seqs-host	num_seqs-microbiome	num_seqs-total	TP	FP	FN	TN	IndexingMemory	IndexingTime	RunningMemory	RunningTime	Precision	Recall	Accuracy	F1
HumanM10-2-2	BWA	Human	Multiple	50%	10G	19999544	19999844	39999388	19999544	81149	0	19918395	4.57	65.63555	6.78	329.9416833	0.995958855	1	0.997971229	0.997975336
HumanM10-2-3	BWA	Human	Multiple	50%	10G	19999546	19999868	39999414	19999544	356506	0	19643038	4.57	65.63555	6.73	348.8380333	0.982486484	1	0.991087147	0.991165884
HumanM10-2-4	BWA	Human	Multiple	50%	10G	19999550	19999866	39999416	19999544	32542	0	19967002	4.57	65.63555	6.77	341.56155	0.998375506	1	0.999186431	0.999187093
HumanM10-2-5	BWA	Human	Multiple	50%	10G	19999544	19999790	39999334	19999544	3010	0	19996534	4.57	65.63555	6.73	340.3515667	0.999849519	1	0.999924748	0.999924754
HumanM30-1-1	BWA	Human	Multiple	90%	30G	86398020	9600586	95998606	86398020	32836	0	9566944	4.57	65.63555	6.58	1310.884083	0.999620089	1	0.99965795	0.999810009
HumanM30-1-2	BWA	Human	Multiple	90%	30G	86398020	9600894	95998914	86398020	40743	0	9559037	4.57	65.63555	6.78	1720.41925	0.999528649	1	0.999575584	0.999764269
HumanM30-1-3	BWA	Human	Multiple	90%	30G	86398022	9601044	95999066	86398020	165121	0	9434659	4.57	65.63555	6.74	1615.294283	0.998092479	1	0.99827995	0.999045329
HumanM30-1-4	BWA	Human	Multiple	90%	30G	86398026	9600902	95998928	86398020	17189	0	9582591	4.57	65.63555	6.77	1583.983067	0.999801088	1	0.999820944	0.999900534
HumanM30-1-5	BWA	Human	Multiple	90%	30G	86398020	9600722	95998742	68771555	1502	1	9598278	4.57	65.63555	6.73	1211.928067	0.99997816	0.999999985	0.999980822	0.999989073
HumanM60-1-1	BWA	Human	Multiple	90%	60G	172796042	19201166	191997208	172796040	53603	0	19145957	4.57	65.63555	6.58	3088.451333	0.999689887	1	0.999720811	0.999844919
HumanM60-1-2	BWA	Human	Multiple	90%	60G	169342352	19201768	188544120	169342352	81082	0	19118478	4.57	65.63555	6.79	3582.364067	0.999521424	1	0.999569952	0.999760655
HumanM60-1-3	BWA	Human	Multiple	90%	60G	172796042	19202072	191998114	172796040	329755	0	18869805	4.57	65.63555	6.74	3334.703283	0.998095287	1	0.998282487	0.999046736
HumanM60-1-4	BWA	Human	Multiple	90%	60G	172796046	19201838	191997884	172796040	32479	0	19167081	4.57	65.63555	6.77	3256.30705	0.999812074	1	0.999830835	0.999906028
HumanM60-1-5	BWA	Human	Multiple	90%	60G	166662502	19201374	185863876	166662500	2879	2	19196681	4.57	65.63555	6.73	3083.4696	0.999982726	0.999999988	0.999984499	0.999991357
HumanM10-1-1	BWA	Human	Multiple	90%	10G	35999172	4000264	39999436	35999172	8706	0	3991202	4.57	65.63555	6.58	420.4933833	0.99975822	1	0.999782345	0.999879095
HumanM10-1-2	BWA	Human	Multiple	90%	10G	35999172	4000378	39999550	35999172	40254	0	3959654	4.57	65.63555	6.78	492.2420667	0.998883057	1	0.998993627	0.999441216
HumanM10-1-3	BWA	Human	Multiple	90%	10G	35999174	4000440	39999614	35999172	82029	0	3917879	4.57	65.63555	6.73	472.2671667	0.997726545	1	0.997949228	0.998861979
HumanM10-1-4	BWA	Human	Multiple	90%	10G	35999176	4000430	39999606	35999172	2501	0	3997407	4.57	65.63555	6.77	472.9266167	0.999930531	1	0.999937474	0.999965264
HumanM10-1-5	BWA	Human	Multiple	90%	10G	35999172	4000296	39999468	35999172	640	0	3999268	4.57	65.63555	6.73	466.7981167	0.999982222	1	0.999984	0.999991111
HumanS30-3-1	BWA	Human	Single	10%	30G	9599780	86398058	95997838	9599780	11294	0	86386726	4.57	65.63555	6.57	486.1668333	0.998824897	1	0.999882351	0.999412103
HumanS30-3-2	BWA	Human	Single	10%	30G	9599780	86398062	95997842	9599780	35393	0	86362627	4.57	65.63555	6.78	483.4205833	0.996326688	1	0.999631314	0.998159964
HumanS30-3-3	BWA	Human	Single	10%	30G	9599780	86398052	95997832	9599780	25137	0	86372883	4.57	65.63555	6.73	443.6253	0.997388341	1	0.99973815	0.998692463
HumanS30-3-4	BWA	Human	Single	10%	30G	9599780	86398044	95997824	9599780	11560	0	86386460	4.57	65.63555	6.77	380.47035	0.998797254	1	0.999879581	0.999398265
HumanS30-3-5	BWA	Human	Single	10%	30G	9599780	86398044	95997824	9599780	11393	0	86386627	4.57	65.63555	6.73	373.6745667	0.998814609	1	0.99988132	0.999406953
