SampleID	Hosttype	Microbiometype	HostGenomeProportion	Software	Accuracy	Precision	Recall	F1
RiceS10-2-3	OsjSinBac	Single	50%	KrakenUniq	0.975412839	0.999075339	0.951706499	0.974815815
RiceS10-2-4	OsjSinBac	Single	50%	KrakenUniq	0.975312537	0.999057433	0.951522795	0.974710916
RiceS10-2-5	OsjSinBac	Single	50%	KrakenUniq	0.975350938	0.999047973	0.951608697	0.974751482
RiceS10-3-1	OsjSinBac	Single	10%	Bowtie2	0.986665493	0.999967982	0.866682684	0.928566818
RiceS10-3-2	OsjSinBac	Single	10%	Bowtie2	0.986604692	0.999963052	0.86607892	0.92821805
RiceS10-3-3	OsjSinBac	Single	10%	Bowtie2	0.986646568	0.999970571	0.866491179	0.928458008
RiceS10-3-4	OsjSinBac	Single	10%	Bowtie2	0.986654868	0.999966247	0.866577931	0.928505943
RiceS10-3-5	OsjSinBac	Single	10%	Bowtie2	0.986684844	0.999967412	0.866876688	0.92867791
RiceS10-3-1	OsjSinBac	Single	10%	BWA	0.992339574	0.962788223	0.960519842	0.961652695
RiceS10-3-2	OsjSinBac	Single	10%	BWA	0.992931537	0.968907257	0.960126333	0.96449681
RiceS10-3-3	OsjSinBac	Single	10%	BWA	0.992303198	0.962454215	0.960501592	0.961476912
RiceS10-3-4	OsjSinBac	Single	10%	BWA	0.992424501	0.963653407	0.960471591	0.962059868
RiceS10-3-5	OsjSinBac	Single	10%	BWA	0.992423651	0.963566352	0.960556343	0.962058993
RiceS10-3-1	OsjSinBac	Single	10%	KMCP	0.955038266	1	0.550382659	0.709995891
RiceS10-3-2	OsjSinBac	Single	10%	KMCP	0.955110368	1	0.551103675	0.710595538
RiceS10-3-3	OsjSinBac	Single	10%	KMCP	0.955034516	1	0.550345158	0.709964688
RiceS10-3-4	OsjSinBac	Single	10%	KMCP	0.955032666	1	0.550326658	0.709949293
RiceS10-3-5	OsjSinBac	Single	10%	KMCP	0.955097667	1	0.550976672	0.710489954
RiceS10-3-1	OsjSinBac	Single	10%	KneadData	0.995002835	0.981382775	0.968399273	0.974847796
RiceS10-3-2	OsjSinBac	Single	10%	KneadData	0.994953984	0.981287667	0.967998764	0.974597918
RiceS10-3-3	OsjSinBac	Single	10%	KneadData	0.994982885	0.981319977	0.96826027	0.974746382
RiceS10-3-4	OsjSinBac	Single	10%	KneadData	0.994962934	0.981204004	0.968175768	0.97464635
RiceS10-3-5	OsjSinBac	Single	10%	KneadData	0.994962884	0.981111838	0.96826977	0.974648504
RiceS10-3-1	OsjSinBac	Single	10%	Kraken2	0.989916043	0.994270052	0.904372301	0.947192917
RiceS10-3-2	OsjSinBac	Single	10%	Kraken2	0.989859092	0.994198774	0.903865039	0.946882299
RiceS10-3-3	OsjSinBac	Single	10%	Kraken2	0.989914668	0.994263173	0.9043648	0.947185682
RiceS10-3-4	OsjSinBac	Single	10%	Kraken2	0.989877717	0.994164367	0.904084044	0.946986849
RiceS10-3-5	OsjSinBac	Single	10%	Kraken2	0.989889092	0.994096916	0.904260548	0.947053059
RiceS10-3-1	OsjSinBac	Single	10%	KrakenUniq	0.994381171	0.991648451	0.951827892	0.971330223
RiceS10-3-2	OsjSinBac	Single	10%	KrakenUniq	0.994325269	0.9915949	0.95131638	0.971038133
RiceS10-3-3	OsjSinBac	Single	10%	KrakenUniq	0.994375721	0.991630561	0.951790391	0.971302114
RiceS10-3-4	OsjSinBac	Single	10%	KrakenUniq	0.99433852	0.991544831	0.951498884	0.971109186
